Time (sec),Pressure (psia),Thrust (lbf),Mass Flowrate
0,14.69,258363.00,-   
0.1,54.834,413976.90,948.52 
0.2,463.328,1729380.00,5631.86 
0.3,738.475,2758442.80,10049.27 
0.4,864.8,3097800.80,11225.05 
0.5,911.224,3199761.00,11947.91 
0.6,925.096,3201148.00,11960.60 
0.7,928.096,3200607.80,11958.30 
0.8,926.375,3208448.30,11965.60 
0.9,921.776,3207159.00,11964.40 
1,918.696,3202401.50,11942.61 
1.5,910.859,3192438.50,11904.03 
2,906.129,3192517.30,11898.14 
2.5,902.991,3196446.00,11910.53 
3,901.093,3204617.50,11935.71 
3.5,900.016,3215572.00,11969.19 
4,899.656,3228038.50,12011.17 
4.5,900.064,3242572.30,12062.84 
5,901.21,3260058.00,12123.00 
5.5,902.799,3279115.50,12185.76 
6,904.328,3295875.80,12242.83 
6.5,905.337,3307800.30,12287.60 
7,905.667,3316234.80,12318.88 
7.5,905.492,3323126.50,12340.87 
8,905.122,3329363.30,12359.65 
8.5,904.769,3335061.80,12378.84 
9,904.389,3339934.30,12396.63 
9.5,903.778,3343649.00,12409.92 
10,902.791,3346108.80,12417.52 
10.5,901.468,3347467.00,12420.22 
11,899.961,3348018.50,12419.52 
11.5,898.417,3348095.00,12417.52 
12,896.932,3348006.00,12415.32 
12.5,895.558,3348013.80,12413.92 
13,894.316,3348306.30,12413.72 
13.5,893.204,3348987.30,12415.02 
14,892.21,3350084.80,12417.62 
14.5,891.322,3351568.30,12421.32 
15,890.529,3353364.50,12426.01 
15.5,889.818,3355373.50,12431.31 
16,889.177,3357486.50,12437.01 
16.5,888.588,3359600.30,12442.90 
17,888.028,3361632.50,12448.70 
17.5,887.472,3363522.50,12454.10 
18,886.887,3365222.00,12458.79 
18.5,886.244,3366685.50,12462.59 
19,885.517,3367860.30,12465.29 
19.5,884.684,3368677.00,12466.39 
20,883.734,3369039.50,12465.79 
20.5,882.744,3368846.00,12463.29 
21,882.458,3370227.50,12466.79 
21.5,879.502,3363186.00,12441.31 
22,873.92,3345290.30,12371.95 
22.5,864.872,3313843.50,12261.71 
23,855.353,3280489.50,12141.99 
23.5,846.304,3248436.00,12025.86 
24,837.857,3218662.30,11918.12 
24.5,829.937,3191030.80,11818.48 
25,822.456,3165070.50,11725.44 
25.5,815.348,3140417.80,11637.40 
26,808.571,3116850.30,11553.45 
26.5,802.093,3094249.80,11473.00 
27,795.883,3072564.50,11395.54 
27.5,789.913,3051769.80,11321.09 
28,784.153,3031831.80,11249.43 
28.5,778.575,3012668.50,11180.37 
29,773.153,2994129.50,11113.81 
29.5,767.862,2976026.00,11049.15 
30,762.682,2958187.80,10985.89 
30.5,757.595,2940517.50,10923.53 
31,752.588,2923006.80,10861.67 
31.5,747.653,2905696.00,10800.21 
32,742.784,2888628.80,10739.34 
32.5,737.98,2871828.00,10679.18 
33,733.241,2855299.00,10619.92 
33.5,728.565,2839031.30,10561.55 
34,723.951,2823002.50,10504.19 
34.5,719.397,2807183.80,10447.72 
35,714.898,2791541.80,10391.96 
35.5,710.45,2776042.80,10336.79 
36,706.05,2760657.30,10282.12 
36.5,701.694,2745363.00,10227.86 
37,697.381,2730148.80,10173.79 
37.5,693.11,2715018.00,10120.02 
38,688.884,2699993.30,10066.55 
38.5,684.709,2685119.30,10013.49 
39,680.595,2670466.50,9961.12 
39.5,676.555,2656127.50,9909.75 
40,672.607,2642205.00,9859.98 
40.5,668.775,2628795.50,9812.01 
41,665.085,2615976.30,9766.34 
41.5,661.564,2603788.50,9723.06 
42,658.224,2592223.30,9682.29 
42.5,655.062,2581206.50,9643.61 
43,652.05,2570590.30,9606.44 
43.5,649.136,2560202.50,9569.86 
44,646.271,2549973.30,9533.68 
44.5,643.446,2540073.80,9498.40 
45,640.727,2530985.80,9466.42 
45.5,638.246,2522932.30,9438.54 
46,635.904,2514606.50,9409.76 
46.5,632.866,2503106.00,9368.68 
47,628.556,2487994.30,9314.51 
47.5,623.337,2468272.80,9242.86 
48,619.25,2453071.00,9189.09 
48.5,614.813,2436908.30,9129.93 
49,611.475,2424434.50,9084.55 
49.5,608.941,2415055.50,9052.47 
50,606.961,2408098.50,9029.49 
50.5,605.428,2403198.50,9013.30 
51,604.32,2400093.00,9002.70 
51.5,603.637,2398596.50,8997.71 
52,603.368,2398576.50,8998.31 
52.5,603.486,2399933.50,9004.40 
53,603.953,2402578.50,9015.60 
53.5,604.723,2406410.00,9031.39 
